symbol,wireId,slug,nationalDex
SPECIES_PHANTUMP,726,phantump,708
SPECIES_TREVENANT,727,trevenant,709
SPECIES_PUMPKABOO_AVERAGE,728,pumpkaboo,710
SPECIES_GOURGEIST_AVERAGE,729,gourgeist,711
SPECIES_BERGMITE,730,bergmite,712
SPECIES_AVALUGG,731,avalugg,713
SPECIES_NOIBAT,732,noibat,714
SPECIES_NOIVERN,733,noivern,715
SPECIES_XERNEAS_NEUTRAL,734,xerneas-neutral,716
SPECIES_YVELTAL,735,yveltal,717
SPECIES_ZYGARDE_50,736,zygarde,718
SPECIES_DIANCIE,737,diancie,719
SPECIES_HOOPA_CONFINED,738,hoopa,720
SPECIES_VOLCANION,739,volcanion,721
SPECIES_ROWLET,740,rowlet,722
SPECIES_DARTRIX,741,dartrix,723
SPECIES_DECIDUEYE,742,decidueye,724
SPECIES_LITTEN,743,litten,725
SPECIES_TORRACAT,744,torracat,726
SPECIES_INCINEROAR,745,incineroar,727
SPECIES_POPPLIO,746,popplio,728
SPECIES_BRIONNE,747,brionne,729
SPECIES_PRIMARINA,748,primarina,730
SPECIES_PIKIPEK,749,pikipek,731
SPECIES_TRUMBEAK,750,trumbeak,732
SPECIES_TOUCANNON,751,toucannon,733
SPECIES_YUNGOOS,752,yungoos,734
SPECIES_GUMSHOOS,753,gumshoos,735
SPECIES_GRUBBIN,754,grubbin,736
SPECIES_CHARJABUG,755,charjabug,737
SPECIES_VIKAVOLT,756,vikavolt,738
SPECIES_CRABRAWLER,757,crabrawler,739
SPECIES_CRABOMINABLE,758,crabominable,740
SPECIES_ORICORIO_BAILE,759,oricorio,741
SPECIES_CUTIEFLY,760,cutiefly,742
SPECIES_RIBOMBEE,761,ribombee,743
SPECIES_ROCKRUFF,762,rockruff,744
SPECIES_LYCANROC_MIDDAY,763,lycanroc,745
SPECIES_WISHIWASHI_SOLO,764,wishiwashi,746
SPECIES_MAREANIE,765,mareanie,747
SPECIES_TOXAPEX,766,toxapex,748
SPECIES_MUDBRAY,767,mudbray,749
SPECIES_MUDSDALE,768,mudsdale,750
SPECIES_DEWPIDER,769,dewpider,751
SPECIES_ARAQUANID,770,araquanid,752
SPECIES_FOMANTIS,771,fomantis,753
SPECIES_LURANTIS,772,lurantis,754
SPECIES_MORELULL,773,morelull,755
SPECIES_SHIINOTIC,774,shiinotic,756
SPECIES_SALANDIT,775,salandit,757
SPECIES_SALAZZLE,776,salazzle,758
SPECIES_STUFFUL,777,stufful,759
SPECIES_BEWEAR,778,bewear,760
SPECIES_BOUNSWEET,779,bounsweet,761
SPECIES_STEENEE,780,steenee,762
SPECIES_TSAREENA,781,tsareena,763
SPECIES_COMFEY,782,comfey,764
SPECIES_ORANGURU,783,oranguru,765
SPECIES_PASSIMIAN,784,passimian,766
SPECIES_WIMPOD,785,wimpod,767
SPECIES_GOLISOPOD,786,golisopod,768
SPECIES_SANDYGAST,787,sandygast,769
SPECIES_PALOSSAND,788,palossand,770
SPECIES_PYUKUMUKU,789,pyukumuku,771
SPECIES_TYPE_NULL,790,typenull,772
SPECIES_SILVALLY_NORMAL,791,silvally,773
SPECIES_MINIOR_METEOR_RED,792,minior-meteor,774
SPECIES_KOMALA,793,komala,775
SPECIES_TURTONATOR,794,turtonator,776
SPECIES_TOGEDEMARU,795,togedemaru,777
SPECIES_MIMIKYU_DISGUISED,796,mimikyu,778
SPECIES_BRUXISH,797,bruxish,779
SPECIES_DRAMPA,798,drampa,780
SPECIES_DHELMISE,799,dhelmise,781
SPECIES_JANGMO_O,800,jangmoo,782
SPECIES_HAKAMO_O,801,hakamoo,783
SPECIES_KOMMO_O,802,kommoo,784
SPECIES_TAPU_KOKO,803,tapukoko,785
SPECIES_TAPU_LELE,804,tapulele,786
SPECIES_TAPU_BULU,805,tapubulu,787
SPECIES_TAPU_FINI,806,tapufini,788
SPECIES_COSMOG,807,cosmog,789
SPECIES_COSMOEM,808,cosmoem,790
SPECIES_SOLGALEO,809,solgaleo,791
SPECIES_LUNALA,810,lunala,792
SPECIES_NIHILEGO,811,nihilego,793
SPECIES_BUZZWOLE,812,buzzwole,794
SPECIES_PHEROMOSA,813,pheromosa,795
SPECIES_XURKITREE,814,xurkitree,796
SPECIES_CELESTEELA,815,celesteela,797
SPECIES_KARTANA,816,kartana,798
SPECIES_GUZZLORD,817,guzzlord,799
SPECIES_NECROZMA,818,necrozma,800
SPECIES_MAGEARNA,819,magearna,801
SPECIES_MARSHADOW,820,marshadow,802
SPECIES_POIPOLE,821,poipole,803
SPECIES_NAGANADEL,822,naganadel,804
SPECIES_STAKATAKA,823,stakataka,805
SPECIES_BLACEPHALON,824,blacephalon,806
SPECIES_ZERAORA,825,zeraora,807
SPECIES_MELTAN,826,meltan,808
SPECIES_MELMETAL,827,melmetal,809
SPECIES_GROOKEY,828,grookey,810
SPECIES_THWACKEY,829,thwackey,811
SPECIES_RILLABOOM,830,rillaboom,812
SPECIES_SCORBUNNY,831,scorbunny,813
SPECIES_RABOOT,832,raboot,814
SPECIES_CINDERACE,833,cinderace,815
SPECIES_SOBBLE,834,sobble,816
SPECIES_DRIZZILE,835,drizzile,817
SPECIES_INTELEON,836,inteleon,818
SPECIES_SKWOVET,837,skwovet,819
SPECIES_GREEDENT,838,greedent,820
SPECIES_ROOKIDEE,839,rookidee,821
SPECIES_CORVISQUIRE,840,corvisquire,822
SPECIES_CORVIKNIGHT,841,corviknight,823
SPECIES_BLIPBUG,842,blipbug,824
SPECIES_DOTTLER,843,dottler,825
SPECIES_ORBEETLE,844,orbeetle,826
SPECIES_NICKIT,845,nickit,827
SPECIES_THIEVUL,846,thievul,828
SPECIES_GOSSIFLEUR,847,gossifleur,829
SPECIES_ELDEGOSS,848,eldegoss,830
SPECIES_WOOLOO,849,wooloo,831
SPECIES_DUBWOOL,850,dubwool,832
SPECIES_CHEWTLE,851,chewtle,833
SPECIES_DREDNAW,852,drednaw,834
SPECIES_YAMPER,853,yamper,835
SPECIES_BOLTUND,854,boltund,836
SPECIES_ROLYCOLY,855,rolycoly,837
SPECIES_CARKOL,856,carkol,838
SPECIES_COALOSSAL,857,coalossal,839
SPECIES_APPLIN,858,applin,840
SPECIES_FLAPPLE,859,flapple,841
SPECIES_APPLETUN,860,appletun,842
SPECIES_SILICOBRA,861,silicobra,843
SPECIES_SANDACONDA,862,sandaconda,844
SPECIES_CRAMORANT,863,cramorant,845
SPECIES_ARROKUDA,864,arrokuda,846
SPECIES_BARRASKEWDA,865,barraskewda,847
SPECIES_TOXEL,866,toxel,848
SPECIES_TOXTRICITY_AMPED,867,toxtricity,849
SPECIES_SIZZLIPEDE,868,sizzlipede,850
SPECIES_CENTISKORCH,869,centiskorch,851
SPECIES_CLOBBOPUS,870,clobbopus,852
SPECIES_GRAPPLOCT,871,grapploct,853
SPECIES_SINISTEA_PHONY,872,sinistea,854
SPECIES_POLTEAGEIST_PHONY,873,polteageist,855
SPECIES_HATENNA,874,hatenna,856
SPECIES_HATTREM,875,hattrem,857
SPECIES_HATTERENE,876,hatterene,858
SPECIES_IMPIDIMP,877,impidimp,859
SPECIES_MORGREM,878,morgrem,860
SPECIES_GRIMMSNARL,879,grimmsnarl,861
SPECIES_OBSTAGOON,880,obstagoon,862
SPECIES_PERRSERKER,881,perrserker,863
SPECIES_CURSOLA,882,cursola,864
SPECIES_SIRFETCHD,883,sirfetchd,865
SPECIES_MR_RIME,884,mrrime,866
SPECIES_RUNERIGUS,885,runerigus,867
SPECIES_MILCERY,886,milcery,868
SPECIES_ALCREMIE_STRAWBERRY_VANILLA_CREAM,887,alcremie,869
SPECIES_FALINKS,888,falinks,870
SPECIES_PINCURCHIN,889,pincurchin,871
SPECIES_SNOM,890,snom,872
SPECIES_FROSMOTH,891,frosmoth,873
SPECIES_STONJOURNER,892,stonjourner,874
SPECIES_EISCUE_ICE,893,eiscue,875
SPECIES_INDEEDEE_M,894,indeedee,876
SPECIES_MORPEKO_FULL_BELLY,895,morpeko,877
SPECIES_CUFANT,896,cufant,878
SPECIES_COPPERAJAH,897,copperajah,879
SPECIES_DRACOZOLT,898,dracozolt,880
SPECIES_ARCTOZOLT,899,arctozolt,881
SPECIES_DRACOVISH,900,dracovish,882
SPECIES_ARCTOVISH,901,arctovish,883
SPECIES_DURALUDON,902,duraludon,884
SPECIES_DREEPY,903,dreepy,885
SPECIES_DRAKLOAK,904,drakloak,886
SPECIES_DRAGAPULT,905,dragapult,887
SPECIES_ZACIAN_HERO,906,zacian,888
SPECIES_ZAMAZENTA_HERO,907,zamazenta,889
SPECIES_ETERNATUS,908,eternatus,890
SPECIES_KUBFU,909,kubfu,891
SPECIES_URSHIFU_SINGLE_STRIKE,910,urshifu,892
SPECIES_ZARUDE,911,zarude,893
SPECIES_REGIELEKI,912,regieleki,894
SPECIES_REGIDRAGO,913,regidrago,895
SPECIES_GLASTRIER,914,glastrier,896
SPECIES_SPECTRIER,915,spectrier,897
SPECIES_CALYREX,916,calyrex,898
SPECIES_WYRDEER,917,wyrdeer,899
SPECIES_KLEAVOR,918,kleavor,900
SPECIES_URSALUNA,919,ursaluna,901
SPECIES_BASCULEGION_M,920,basculegion,902
SPECIES_SNEASLER,921,sneasler,903
SPECIES_OVERQWIL,922,overqwil,904
SPECIES_ENAMORUS_INCARNATE,923,enamorus,905
SPECIES_VENUSAUR_MEGA,1097,venusaur-mega,3
SPECIES_CHARIZARD_MEGA_X,1098,charizard-megax,6
SPECIES_CHARIZARD_MEGA_Y,1099,charizard-megay,6
SPECIES_BLASTOISE_MEGA,1100,blastoise-mega,9
SPECIES_BEEDRILL_MEGA,1101,beedrill-mega,15
SPECIES_PIDGEOT_MEGA,1102,pidgeot-mega,18
SPECIES_ALAKAZAM_MEGA,1103,alakazam-mega,65
SPECIES_SLOWBRO_MEGA,1104,slowbro-mega,80
SPECIES_GENGAR_MEGA,1105,gengar-mega,94
SPECIES_KANGASKHAN_MEGA,1106,kangaskhan-mega,115
SPECIES_PINSIR_MEGA,1107,pinsir-mega,127
SPECIES_GYARADOS_MEGA,1108,gyarados-mega,130
SPECIES_AERODACTYL_MEGA,1109,aerodactyl-mega,142
SPECIES_MEWTWO_MEGA_X,1110,mewtwo-megax,150
SPECIES_MEWTWO_MEGA_Y,1111,mewtwo-megay,150
SPECIES_AMPHAROS_MEGA,1112,ampharos-mega,181
SPECIES_STEELIX_MEGA,1113,steelix-mega,208
SPECIES_SCIZOR_MEGA,1114,scizor-mega,212
SPECIES_HERACROSS_MEGA,1115,heracross-mega,214
SPECIES_HOUNDOOM_MEGA,1116,houndoom-mega,229
SPECIES_TYRANITAR_MEGA,1117,tyranitar-mega,248
SPECIES_SCEPTILE_MEGA,1118,sceptile-mega,254
SPECIES_BLAZIKEN_MEGA,1119,blaziken-mega,257
SPECIES_SWAMPERT_MEGA,1120,swampert-mega,260
SPECIES_GARDEVOIR_MEGA,1121,gardevoir-mega,282
SPECIES_SABLEYE_MEGA,1122,sableye-mega,302
SPECIES_MAWILE_MEGA,1123,mawile-mega,303
SPECIES_AGGRON_MEGA,1124,aggron-mega,306
SPECIES_MEDICHAM_MEGA,1125,medicham-mega,308
SPECIES_MANECTRIC_MEGA,1126,manectric-mega,310
SPECIES_SHARPEDO_MEGA,1127,sharpedo-mega,319
SPECIES_CAMERUPT_MEGA,1128,camerupt-mega,323
SPECIES_ALTARIA_MEGA,1129,altaria-mega,334
SPECIES_BANETTE_MEGA,1130,banette-mega,354
SPECIES_ABSOL_MEGA,1131,absol-mega,359
SPECIES_GLALIE_MEGA,1132,glalie-mega,362
SPECIES_SALAMENCE_MEGA,1133,salamence-mega,373
SPECIES_METAGROSS_MEGA,1134,metagross-mega,376
SPECIES_LATIAS_MEGA,1135,latias-mega,380
SPECIES_LATIOS_MEGA,1136,latios-mega,381
SPECIES_LOPUNNY_MEGA,1137,lopunny-mega,428
SPECIES_GARCHOMP_MEGA,1138,garchomp-mega,445
SPECIES_LUCARIO_MEGA,1139,lucario-mega,448
SPECIES_ABOMASNOW_MEGA,1140,abomasnow-mega,460
SPECIES_GALLADE_MEGA,1141,gallade-mega,475
SPECIES_AUDINO_MEGA,1142,audino-mega,531
SPECIES_DIANCIE_MEGA,1143,diancie-mega,719
SPECIES_RAYQUAZA_MEGA,1144,rayquaza-mega,384
SPECIES_KYOGRE_PRIMAL,1145,kyogre-primal,382
SPECIES_GROUDON_PRIMAL,1146,groudon-primal,383
SPECIES_RATTATA_ALOLA,1147,rattata-alola,19
SPECIES_RATICATE_ALOLA,1148,raticate-alola,20
SPECIES_RAICHU_ALOLA,1149,raichu-alola,26
SPECIES_SANDSHREW_ALOLA,1150,sandshrew-alola,27
SPECIES_SANDSLASH_ALOLA,1151,sandslash-alola,28
SPECIES_VULPIX_ALOLA,1152,vulpix-alola,37
SPECIES_NINETALES_ALOLA,1153,ninetales-alola,38
SPECIES_DIGLETT_ALOLA,1154,diglett-alola,50
SPECIES_DUGTRIO_ALOLA,1155,dugtrio-alola,51
SPECIES_MEOWTH_ALOLA,1156,meowth-alola,52
SPECIES_PERSIAN_ALOLA,1157,persian-alola,53
SPECIES_GEODUDE_ALOLA,1158,geodude-alola,74
SPECIES_GRAVELER_ALOLA,1159,graveler-alola,75
SPECIES_GOLEM_ALOLA,1160,golem-alola,76
SPECIES_GRIMER_ALOLA,1161,grimer-alola,88
SPECIES_MUK_ALOLA,1162,muk-alola,89
SPECIES_EXEGGUTOR_ALOLA,1163,exeggutor-alola,103
SPECIES_MAROWAK_ALOLA,1164,marowak-alola,105
SPECIES_MEOWTH_GALAR,1165,meowth-galar,52
SPECIES_PONYTA_GALAR,1166,ponyta-galar,77
SPECIES_RAPIDASH_GALAR,1167,rapidash-galar,78
SPECIES_SLOWPOKE_GALAR,1168,slowpoke-galar,79
SPECIES_SLOWBRO_GALAR,1169,slowbro-galar,80
SPECIES_FARFETCHD_GALAR,1170,farfetchd-galar,83
SPECIES_WEEZING_GALAR,1171,weezing-galar,110
SPECIES_MR_MIME_GALAR,1172,mrmime-galar,122
SPECIES_ARTICUNO_GALAR,1173,articuno-galar,144
SPECIES_ZAPDOS_GALAR,1174,zapdos-galar,145
SPECIES_MOLTRES_GALAR,1175,moltres-galar,146
SPECIES_SLOWKING_GALAR,1176,slowking-galar,199
SPECIES_CORSOLA_GALAR,1177,corsola-galar,222
SPECIES_ZIGZAGOON_GALAR,1178,zigzagoon-galar,263
SPECIES_LINOONE_GALAR,1179,linoone-galar,264
SPECIES_DARUMAKA_GALAR,1180,darumaka-galar,554
SPECIES_DARMANITAN_GALAR_STANDARD,1181,darmanitan-galar,555
SPECIES_YAMASK_GALAR,1182,yamask-galar,562
SPECIES_STUNFISK_GALAR,1183,stunfisk-galar,618
SPECIES_GROWLITHE_HISUI,1184,growlithe-hisui,58
SPECIES_ARCANINE_HISUI,1185,arcanine-hisui,59
SPECIES_VOLTORB_HISUI,1186,voltorb-hisui,100
SPECIES_ELECTRODE_HISUI,1187,electrode-hisui,101
SPECIES_TYPHLOSION_HISUI,1188,typhlosion-hisui,157
SPECIES_QWILFISH_HISUI,1189,qwilfish-hisui,211
SPECIES_SNEASEL_HISUI,1190,sneasel-hisui,215
SPECIES_SAMUROTT_HISUI,1191,samurott-hisui,503
SPECIES_LILLIGANT_HISUI,1192,lilligant-hisui,549
SPECIES_ZORUA_HISUI,1193,zorua-hisui,570
SPECIES_ZOROARK_HISUI,1194,zoroark-hisui,571
SPECIES_BRAVIARY_HISUI,1195,braviary-hisui,628
SPECIES_SLIGGOO_HISUI,1196,sliggoo-hisui,705
SPECIES_GOODRA_HISUI,1197,goodra-hisui,706
SPECIES_AVALUGG_HISUI,1198,avalugg-hisui,713
SPECIES_DECIDUEYE_HISUI,1199,decidueye-hisui,724
SPECIES_PIKACHU_ALOLA,1211,pikachu-alola,25
SPECIES_DARMANITAN_GALAR_ZEN,1284,darmanitan-galarzen,555
SPECIES_ENAMORUS_THERIAN,1294,enamorus-therian,905
SPECIES_GRENINJA_BATTLE_BOND,1303,greninja-bond,658
SPECIES_GRENINJA_ASH,1304,greninja-ash,658
SPECIES_VIVILLON_POLAR,1305,vivillon-polar,666
SPECIES_VIVILLON_TUNDRA,1306,vivillon-tundra,666
SPECIES_VIVILLON_CONTINENTAL,1307,vivillon-continental,666
SPECIES_VIVILLON_GARDEN,1308,vivillon-garden,666
SPECIES_VIVILLON_ELEGANT,1309,vivillon-elegant,666
SPECIES_VIVILLON_MEADOW,1310,vivillon,666
SPECIES_VIVILLON_MODERN,1311,vivillon-modern,666
SPECIES_VIVILLON_MARINE,1312,vivillon-marine,666
SPECIES_VIVILLON_ARCHIPELAGO,1313,vivillon-archipelago,666
SPECIES_VIVILLON_HIGH_PLAINS,1314,vivillon-highplains,666
SPECIES_VIVILLON_SANDSTORM,1315,vivillon-sandstorm,666
SPECIES_VIVILLON_RIVER,1316,vivillon-river,666
SPECIES_VIVILLON_MONSOON,1317,vivillon-monsoon,666
SPECIES_VIVILLON_SAVANNA,1318,vivillon-savanna,666
SPECIES_VIVILLON_SUN,1319,vivillon-sun,666
SPECIES_VIVILLON_OCEAN,1320,vivillon-ocean,666
SPECIES_VIVILLON_JUNGLE,1321,vivillon-jungle,666
SPECIES_VIVILLON_FANCY,1322,vivillon-fancy,666
SPECIES_VIVILLON_POKEBALL,1323,vivillon-pokeball,666
SPECIES_FLABEBE_YELLOW,1324,flabebe,669
SPECIES_FLABEBE_ORANGE,1325,flabebe,669
SPECIES_FLABEBE_BLUE,1326,flabebe,669
SPECIES_FLABEBE_WHITE,1327,flabebe,669
SPECIES_FLOETTE_YELLOW,1328,floette,670
SPECIES_FLOETTE_ORANGE,1329,floette,670
SPECIES_FLOETTE_BLUE,1330,floette,670
SPECIES_FLOETTE_WHITE,1331,floette,670
SPECIES_FLOETTE_ETERNAL,1332,floette-eternal,670
SPECIES_FLORGES_YELLOW,1333,florges,671
SPECIES_FLORGES_ORANGE,1334,florges,671
SPECIES_FLORGES_BLUE,1335,florges,671
SPECIES_FLORGES_WHITE,1336,florges,671
SPECIES_FURFROU_HEART,1337,furfrou,676
SPECIES_FURFROU_STAR,1338,furfrou,676
SPECIES_FURFROU_DIAMOND,1339,furfrou,676
SPECIES_FURFROU_DEBUTANTE,1340,furfrou,676
SPECIES_FURFROU_MATRON,1341,furfrou,676
SPECIES_FURFROU_DANDY,1342,furfrou,676
SPECIES_FURFROU_LA_REINE,1343,furfrou,676
SPECIES_FURFROU_KABUKI,1344,furfrou,676
SPECIES_FURFROU_PHARAOH,1345,furfrou,676
SPECIES_MEOWSTIC_F,1346,meowstic-f,678
SPECIES_AEGISLASH_BLADE,1347,aegislash-blade,681
SPECIES_PUMPKABOO_SMALL,1348,pumpkaboo-small,710
SPECIES_PUMPKABOO_LARGE,1349,pumpkaboo-large,710
SPECIES_PUMPKABOO_SUPER,1350,pumpkaboo-super,710
SPECIES_GOURGEIST_SMALL,1351,gourgeist-small,711
SPECIES_GOURGEIST_LARGE,1352,gourgeist-large,711
SPECIES_GOURGEIST_SUPER,1353,gourgeist-super,711
SPECIES_XERNEAS_ACTIVE,1354,xerneas,716
SPECIES_ZYGARDE_10_AURA_BREAK,1355,zygarde-10,718
SPECIES_ZYGARDE_10_POWER_CONSTRUCT,1356,zygarde-10,718
SPECIES_ZYGARDE_50_POWER_CONSTRUCT,1357,zygarde,718
SPECIES_ZYGARDE_COMPLETE,1358,zygarde-complete,718
SPECIES_HOOPA_UNBOUND,1359,hoopa-unbound,720
SPECIES_ORICORIO_POM_POM,1360,oricorio-pompom,741
SPECIES_ORICORIO_PAU,1361,oricorio-pau,741
SPECIES_ORICORIO_SENSU,1362,oricorio-sensu,741
SPECIES_ROCKRUFF_OWN_TEMPO,1363,rockruff,744
SPECIES_LYCANROC_MIDNIGHT,1364,lycanroc-midnight,745
SPECIES_LYCANROC_DUSK,1365,lycanroc-dusk,745
SPECIES_WISHIWASHI_SCHOOL,1366,wishiwashi-school,746
SPECIES_SILVALLY_FIGHTING,1367,silvally-fighting,773
SPECIES_SILVALLY_FLYING,1368,silvally-flying,773
SPECIES_SILVALLY_POISON,1369,silvally-poison,773
SPECIES_SILVALLY_GROUND,1370,silvally-ground,773
SPECIES_SILVALLY_ROCK,1371,silvally-rock,773
SPECIES_SILVALLY_BUG,1372,silvally-bug,773
SPECIES_SILVALLY_GHOST,1373,silvally-ghost,773
SPECIES_SILVALLY_STEEL,1374,silvally-steel,773
SPECIES_SILVALLY_FIRE,1375,silvally-fire,773
SPECIES_SILVALLY_WATER,1376,silvally-water,773
SPECIES_SILVALLY_GRASS,1377,silvally-grass,773
SPECIES_SILVALLY_ELECTRIC,1378,silvally-electric,773
SPECIES_SILVALLY_PSYCHIC,1379,silvally-psychic,773
SPECIES_SILVALLY_ICE,1380,silvally-ice,773
SPECIES_SILVALLY_DRAGON,1381,silvally-dragon,773
SPECIES_SILVALLY_DARK,1382,silvally-dark,773
SPECIES_SILVALLY_FAIRY,1383,silvally-fairy,773
SPECIES_MINIOR_METEOR_ORANGE,1384,minior-orange,774
SPECIES_MINIOR_METEOR_YELLOW,1385,minior-yellow,774
SPECIES_MINIOR_METEOR_GREEN,1386,minior-meteor,774
SPECIES_MINIOR_METEOR_BLUE,1387,minior-meteor,774
SPECIES_MINIOR_METEOR_INDIGO,1388,minior-indigo,774
SPECIES_MINIOR_METEOR_VIOLET,1389,minior-violet,774
SPECIES_MINIOR_CORE_RED,1390,minior,774
SPECIES_MINIOR_CORE_ORANGE,1391,minior-orange,774
SPECIES_MINIOR_CORE_YELLOW,1392,minior-yellow,774
SPECIES_MINIOR_CORE_GREEN,1393,minior-green,774
SPECIES_MINIOR_CORE_BLUE,1394,minior-blue,774
SPECIES_MINIOR_CORE_INDIGO,1395,minior-indigo,774
SPECIES_MINIOR_CORE_VIOLET,1396,minior-violet,774
SPECIES_MIMIKYU_BUSTED,1397,mimikyu-busted,778
SPECIES_NECROZMA_DUSK_MANE,1398,necrozma-duskmane,800
SPECIES_NECROZMA_DAWN_WINGS,1399,necrozma-dawnwings,800
SPECIES_NECROZMA_ULTRA,1400,necrozma-ultra,800
SPECIES_MAGEARNA_ORIGINAL,1401,magearna-original,801
SPECIES_CRAMORANT_GULPING,1402,cramorant-gulping,845
SPECIES_CRAMORANT_GORGING,1403,cramorant-gorging,845
SPECIES_TOXTRICITY_LOW_KEY,1404,toxtricity-lowkey,849
SPECIES_SINISTEA_ANTIQUE,1405,sinistea-antique,854
SPECIES_POLTEAGEIST_ANTIQUE,1406,polteageist-antique,855
SPECIES_ALCREMIE_STRAWBERRY_RUBY_CREAM,1407,alcremie-rubycream,869
SPECIES_ALCREMIE_STRAWBERRY_MATCHA_CREAM,1408,alcremie-matchacream,869
SPECIES_ALCREMIE_STRAWBERRY_MINT_CREAM,1409,alcremie-mintcream,869
SPECIES_ALCREMIE_STRAWBERRY_LEMON_CREAM,1410,alcremie-lemoncream,869
SPECIES_ALCREMIE_STRAWBERRY_SALTED_CREAM,1411,alcremie,869
SPECIES_ALCREMIE_STRAWBERRY_RUBY_SWIRL,1412,alcremie-rubyswirl,869
SPECIES_ALCREMIE_STRAWBERRY_CARAMEL_SWIRL,1413,alcremie-caramelswirl,869
SPECIES_ALCREMIE_STRAWBERRY_RAINBOW_SWIRL,1414,alcremie-rainbowswirl,869
SPECIES_EISCUE_NOICE,1415,eiscue-noice,875
SPECIES_INDEEDEE_F,1416,indeedee-f,876
SPECIES_MORPEKO_HANGRY,1417,morpeko-hangry,877
SPECIES_ZACIAN_CROWNED,1418,zacian-crowned,888
SPECIES_ZAMAZENTA_CROWNED,1419,zamazenta-crowned,889
SPECIES_ETERNATUS_ETERNAMAX,1420,eternatus-eternamax,890
SPECIES_URSHIFU_RAPID_STRIKE,1421,urshifu-rapidstrike,892
SPECIES_ZARUDE_DADA,1422,zarude-dada,893
SPECIES_CALYREX_ICE,1423,calyrex-ice,898
SPECIES_CALYREX_SHADOW,1424,calyrex-shadow,898
SPECIES_BASCULEGION_F,1425,basculegion-f,902
SPECIES_ALCREMIE_BERRY_VANILLA_CREAM,1426,alcremie,869
SPECIES_ALCREMIE_BERRY_RUBY_CREAM,1427,alcremie-rubycream,869
SPECIES_ALCREMIE_BERRY_MATCHA_CREAM,1428,alcremie-matchacream,869
SPECIES_ALCREMIE_BERRY_MINT_CREAM,1429,alcremie-mintcream,869
SPECIES_ALCREMIE_BERRY_LEMON_CREAM,1430,alcremie-lemoncream,869
SPECIES_ALCREMIE_BERRY_SALTED_CREAM,1431,alcremie,869
SPECIES_ALCREMIE_BERRY_RUBY_SWIRL,1432,alcremie-rubyswirl,869
SPECIES_ALCREMIE_BERRY_CARAMEL_SWIRL,1433,alcremie-caramelswirl,869
SPECIES_ALCREMIE_BERRY_RAINBOW_SWIRL,1434,alcremie-rainbowswirl,869
SPECIES_ALCREMIE_LOVE_VANILLA_CREAM,1435,alcremie,869
SPECIES_ALCREMIE_LOVE_RUBY_CREAM,1436,alcremie-rubycream,869
SPECIES_ALCREMIE_LOVE_MATCHA_CREAM,1437,alcremie-matchacream,869
