move;name;donor;donorName;how
906;G-Max Befuddle;41;Twineedle;stat fallback
907;G-Max Volt Crash;209;Spark;stat fallback
908;G-Max Gold Rush;132;Constrict;stat fallback
909;G-Max Chi Strike;167;Triple Kick;stat fallback
910;G-Max Terror;122;Lick;stat fallback
911;G-Max Foam Burst;128;Clamp;stat fallback
912;G-Max Resonance;333;Icicle Spear;stat fallback
913;G-Max Cuddle;132;Constrict;stat fallback
914;G-Max Replenish;132;Constrict;stat fallback
915;G-Max Malodor;40;Poison Sting;stat fallback
916;G-Max Meltdown;360;Gyro Ball;stat fallback
917;G-Max Drum Solo;331;Bullet Seed;stat fallback
918;G-Max Fireball;535;Heat Crash;stat fallback
919;G-Max Hydrosnipe;128;Clamp;stat fallback
920;G-Max Wind Rage;64;Peck;stat fallback
921;G-Max Gravitas;531;Heart Stamp;stat fallback
922;G-Max Stonesurge;128;Clamp;stat fallback
923;G-Max Volcalith;350;Rock Blast;stat fallback
924;G-Max Tartness;331;Bullet Seed;stat fallback
925;G-Max Sweetness;331;Bullet Seed;stat fallback
926;G-Max Sandblast;90;Fissure;stat fallback
927;G-Max Stun Shock;209;Spark;stat fallback
928;G-Max Centiferno;535;Heat Crash;stat fallback
929;G-Max Smite;186;Sweet Kiss;stat fallback
930;G-Max Snooze;251;Beat Up;stat fallback
931;G-Max Finale;186;Sweet Kiss;stat fallback
932;G-Max Steelsurge;360;Gyro Ball;stat fallback
933;G-Max Depletion;530;Dual Chop;stat fallback
934;G-Max One Blow;251;Beat Up;stat fallback
935;G-Max Rapid Flow;128;Clamp;stat fallback
560;Flying Press;507;Sky Drop;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
561;Mat Block;160;Conversion;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
562;Belch;459;Roar of Time;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
563;Rototiller;425;Shadow Sneak;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
564;Sticky Web;169;Spider Web;ADVISORY vfx tier - overlap score=7 sharedTemplates=1
565;Fell Stinger;371;Payback;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
566;Phantom Force;467;Shadow Force;ADVISORY vfx tier - overlap score=18 sharedTemplates=0
567;Trick-or-Treat;174;Curse;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
568;Noble Roar;43;Leer;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
569;Ion Deluge;86;Thunder Wave;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
570;Parabolic Charge;351;Shock Wave;ADVISORY vfx tier - overlap score=20 sharedTemplates=1
571;Forest's Curse;174;Curse;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
572;Petal Blizzard;239;Twister;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
573;Freeze-Dry;8;Ice Punch;ADVISORY vfx tier - overlap score=17 sharedTemplates=2
574;Disarming Voice;45;Growl;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
575;Parting Shot;45;Growl;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
576;Topsy-Turvy;434;Draco Meteor;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
577;Draining Kiss;213;Attract;ADVISORY vfx tier - overlap score=15 sharedTemplates=2
578;Crafty Shield;160;Conversion;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
579;Flower Shield;86;Thunder Wave;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
580;Grassy Terrain;391;Heart Swap;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
581;Misty Terrain;391;Heart Swap;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
582;Electrify;546;Techno Blast;ADVISORY vfx tier - overlap score=14 sharedTemplates=2
583;Play Rough;146;Dizzy Punch;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
584;Fairy Wind;465;Seed Flare;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
585;Moonblast;236;Moonlight;ADVISORY vfx tier - overlap score=11 sharedTemplates=1
586;Boomburst;304;Hyper Voice;ADVISORY vfx tier - overlap score=17 sharedTemplates=1
587;Fairy Lock;559;Fusion Bolt;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
588;King's Shield;182;Protect;ADVISORY vfx tier - script goto
589;Play Nice;213;Attract;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
590;Confide;150;Splash;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
591;Diamond Storm;196;Icy Wind;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
592;Steam Eruption;25;Mega Kick;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
593;Hyperspace Hole;425;Shadow Sneak;ADVISORY vfx tier - overlap score=8 sharedTemplates=0
594;Water Shuriken;486;Electro Ball;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
595;Mystical Fire;221;Sacred Fire;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
596;Spiky Shield;182;Protect;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
597;Aromatic Mist;230;Sweet Scent;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
598;Eerie Impulse;435;Discharge;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
599;Venom Drench;380;Gastro Acid;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
600;Powder;476;Rage Powder;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
601;Geomancy;558;Fusion Flare;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
602;Magnetic Flux;546;Techno Blast;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
603;Happy Hour;6;Pay Day;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
604;Electric Terrain;391;Heart Swap;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
605;Dazzling Gleam;322;Cosmic Power;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
606;Celebrate;266;Follow Me;ADVISORY vfx tier - overlap score=2 sharedTemplates=0
607;Hold Hands;270;Helping Hand;ADVISORY vfx tier - overlap score=15 sharedTemplates=1
608;Baby-Doll Eyes;515;Final Gambit;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
609;Nuzzle;204;Charm;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
610;Hold Back;311;Weather Ball;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
611;Infestation;451;Charge Beam;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
612;Power-Up Punch;292;Arm Thrust;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
613;Oblivion Wing;19;Fly;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
614;Thousand Arrows;553;Freeze Shock;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
615;Thousand Waves;245;Extreme Speed;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
616;Land's Wrath;414;Earth Power;ADVISORY vfx tier - overlap score=11 sharedTemplates=0
617;Light Of Ruin;545;Searing Shot;ADVISORY vfx tier - overlap score=13 sharedTemplates=0
618;Origin Pulse;439;Rock Wrecker;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
619;Precipice Blades;525;Dragon Tail;ADVISORY vfx tier - overlap score=14 sharedTemplates=2
620;Dragon Ascent;387;Last Resort;ADVISORY vfx tier - overlap score=21 sharedTemplates=2
621;Hyperspace Fury;63;Hyper Beam;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
622;Shore Up;201;Sandstorm;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
623;First Impression;401;Aqua Tail;ADVISORY vfx tier - overlap score=18 sharedTemplates=3
624;Baneful Bunker;182;Protect;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
625;Spirit Shackle;427;Psycho Cut;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
626;Darkest Lariat;555;Snarl;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
627;Sparkling Aria;528;Wild Charge;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
628;Ice Hammer;359;Hammer Arm;ADVISORY vfx tier - overlap score=10 sharedTemplates=1
629;Floral Healing;230;Sweet Scent;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
630;High Horsepower;25;Mega Kick;ADVISORY vfx tier - overlap score=8 sharedTemplates=0
631;Strength Sap;215;Heal Bell;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
632;Solar Blade;548;Secret Sword;ADVISORY vfx tier - overlap score=10 sharedTemplates=1
633;Leafage;75;Razor Leaf;ADVISORY vfx tier - overlap score=2 sharedTemplates=0
634;Spotlight;227;Encore;ADVISORY vfx tier - overlap score=14 sharedTemplates=1
635;Toxic Thread;427;Psycho Cut;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
636;Laser Focus;43;Leer;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
637;Gear Up;546;Techno Blast;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
638;Throat Chop;358;Wake-Up Slap;ADVISORY vfx tier - overlap score=10 sharedTemplates=1
639;Pollen Puff;515;Final Gambit;ADVISORY vfx tier - overlap score=8 sharedTemplates=0
640;Anchor Shot;434;Draco Meteor;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
641;Psychic Terrain;391;Heart Swap;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
642;Lunge;170;Mind Reader;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
643;Fire Lash;172;Flame Wheel;ADVISORY vfx tier - overlap score=23 sharedTemplates=3
644;Power Trip;515;Final Gambit;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
645;Burn Up;315;Overheat;ADVISORY vfx tier - overlap score=19 sharedTemplates=0
646;Speed Swap;138;Dream Eater;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
647;Smart Strike;199;Lock-On;ADVISORY vfx tier - overlap score=10 sharedTemplates=2
648;Purify;108;Smokescreen;ADVISORY vfx tier - overlap score=2 sharedTemplates=0
649;Revelation Dance;514;Retaliate;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
650;Core Enforcer;435;Discharge;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
651;Trop Kick;428;Zen Headbutt;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
652;Instruct;172;Flame Wheel;ADVISORY vfx tier - overlap score=11 sharedTemplates=1
653;Beak Blast;65;Drill Peck;ADVISORY vfx tier - overlap score=18 sharedTemplates=2
654;Clanging Scales;434;Draco Meteor;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
655;Dragon Hammer;387;Last Resort;ADVISORY vfx tier - overlap score=19 sharedTemplates=2
656;Brutal Swing;528;Wild Charge;ADVISORY vfx tier - overlap score=19 sharedTemplates=3
657;Aurora Veil;62;Aurora Beam;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
658;Shell Trap;394;Flare Blitz;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
659;Fleur Cannon;63;Hyper Beam;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
660;Psychic Fangs;280;Brick Break;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
661;Stomping Tantrum;434;Draco Meteor;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
662;Shadow Bone;125;Bone Club;ADVISORY vfx tier - overlap score=10 sharedTemplates=1
663;Accelerock;350;Rock Blast;ADVISORY vfx tier - overlap score=13 sharedTemplates=2
664;Liquidation;127;Waterfall;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
665;Prismatic Laser;143;Sky Attack;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
666;Spectral Thief;194;Destiny Bond;ADVISORY vfx tier - overlap score=14 sharedTemplates=0
667;Sunsteel Strike;434;Draco Meteor;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
668;Moongeist Beam;546;Techno Blast;ADVISORY vfx tier - overlap score=12 sharedTemplates=1
669;Tearful Look;170;Mind Reader;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
670;Zing Zap;209;Spark;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
671;Nature's Madness;515;Final Gambit;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
672;Multi-Attack;548;Secret Sword;ADVISORY vfx tier - overlap score=12 sharedTemplates=1
673;Mind Blown;558;Fusion Flare;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
674;Plasma Fists;351;Shock Wave;ADVISORY vfx tier - overlap score=11 sharedTemplates=0
675;Photon Geyser;451;Charge Beam;ADVISORY vfx tier - overlap score=10 sharedTemplates=0
676;Zippy Zap;98;Quick Attack;ADVISORY vfx tier - overlap score=11 sharedTemplates=0
677;Splishy Splash;127;Waterfall;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
678;Floaty Fall;19;Fly;ADVISORY vfx tier - overlap score=16 sharedTemplates=2
679;Pika Papow;216;Return;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
680;Bouncy Bubble;202;Giga Drain;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
681;Buzzy Buzz;85;Thunderbolt;ADVISORY vfx tier - overlap score=8 sharedTemplates=0
682;Sizzly Slide;172;Flame Wheel;ADVISORY vfx tier - overlap score=18 sharedTemplates=2
683;Glitzy Glow;113;Light Screen;ADVISORY vfx tier - script goto
684;Baddy Bad;115;Reflect;ADVISORY vfx tier - script goto
685;Sappy Seed;345;Magical Leaf;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
686;Freezy Frost;434;Draco Meteor;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
687;Sparkly Swirl;434;Draco Meteor;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
688;Veevee Volley;216;Return;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
689;Double Iron Bash;211;Steel Wing;ADVISORY vfx tier - overlap score=24 sharedTemplates=3
690;Dynamax Cannon;545;Searing Shot;ADVISORY vfx tier - overlap score=10 sharedTemplates=0
691;Snipe Shot;43;Leer;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
692;Jaw Lock;427;Psycho Cut;ADVISORY vfx tier - overlap score=9 sharedTemplates=0
693;Stuff Cheeks;215;Heal Bell;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
694;No Retreat;298;Teeter Dance;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
695;Tar Shot;499;Clear Smog;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
696;Magic Powder;391;Heart Swap;ADVISORY vfx tier - overlap score=4 sharedTemplates=0
697;Dragon Darts;223;Dynamic Punch;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
698;Teatime;118;Metronome;ADVISORY vfx tier - overlap score=5 sharedTemplates=1
699;Octolock;295;Luster Purge;ADVISORY vfx tier - overlap score=3 sharedTemplates=0
700;Bolt Beak;209;Spark;ADVISORY vfx tier - overlap score=19 sharedTemplates=3
701;Fishious Rend;127;Waterfall;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
702;Court Change;433;Trick Room;ADVISORY vfx tier - script goto
703;Clangorous Soul;203;Endure;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
704;Body Press;558;Fusion Flare;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
705;Decorate;579;Flower Shield;ADVISORY vfx tier - script goto
706;Drum Beating;187;Belly Drum;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
707;Snap Trap;427;Psycho Cut;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
708;Pyro Ball;545;Searing Shot;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
709;Behemoth Blade;533;Sacred Sword;ADVISORY vfx tier - overlap score=20 sharedTemplates=3
710;Behemoth Bash;153;Explosion;ADVISORY vfx tier - overlap score=12 sharedTemplates=1
711;Aura Wheel;528;Wild Charge;ADVISORY vfx tier - overlap score=13 sharedTemplates=2
712;Breaking Swipe;434;Draco Meteor;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
713;Branch Poke;532;Horn Leech;ADVISORY vfx tier - overlap score=5 sharedTemplates=0
