# The r32645 client's own move stats: the Gen 5 ROM move table (NARC a/0/2/1) with data.pak section 4 applied on top, rebuilt offline 2026-09-13.
# Accuracy 101 = never misses. Power 0/1 are the client's markers for status and variable-power moves.
id,type,category,power,accuracy,pp,priority
120,NORMAL,PHYSICAL,200,100,5,0
121,NORMAL,PHYSICAL,100,75,10,0
122,GHOST,PHYSICAL,30,100,30,0
123,POISON,SPECIAL,30,70,20,0
124,POISON,SPECIAL,65,100,20,0
125,GROUND,PHYSICAL,65,85,20,0
126,FIRE,SPECIAL,110,85,5,0
127,WATER,PHYSICAL,80,100,15,0
128,WATER,PHYSICAL,35,85,15,0
129,NORMAL,SPECIAL,60,101,20,0
130,NORMAL,PHYSICAL,130,100,10,0
131,NORMAL,PHYSICAL,20,100,15,0
132,NORMAL,PHYSICAL,10,100,35,0
133,PSYCHIC,STATUS,0,101,20,0
134,PSYCHIC,STATUS,0,80,15,0
135,NORMAL,STATUS,0,101,5,0
136,FIGHTING,PHYSICAL,130,90,10,0
137,NORMAL,STATUS,0,100,30,0
138,PSYCHIC,SPECIAL,100,100,15,0
139,POISON,STATUS,0,90,40,0
140,NORMAL,PHYSICAL,15,85,20,0
141,BUG,PHYSICAL,80,100,10,0
142,NORMAL,STATUS,0,75,10,0
143,FLYING,PHYSICAL,140,90,5,0
144,NORMAL,STATUS,0,101,10,0
145,WATER,SPECIAL,40,100,30,0
146,NORMAL,PHYSICAL,70,100,10,0
147,GRASS,STATUS,0,100,15,0
148,NORMAL,STATUS,0,100,20,0
149,PSYCHIC,SPECIAL,1,100,15,0
150,NORMAL,STATUS,0,101,40,0
151,POISON,STATUS,0,101,20,0
152,WATER,PHYSICAL,100,90,10,0
153,NORMAL,PHYSICAL,250,100,5,0
154,NORMAL,PHYSICAL,18,80,15,0
155,GROUND,PHYSICAL,50,90,10,0
156,PSYCHIC,STATUS,0,101,5,0
157,ROCK,PHYSICAL,75,90,10,0
158,NORMAL,PHYSICAL,80,90,15,0
159,NORMAL,STATUS,0,101,30,0
160,NORMAL,STATUS,0,101,30,0
161,NORMAL,SPECIAL,80,100,10,0
162,NORMAL,PHYSICAL,1,90,10,0
163,NORMAL,PHYSICAL,70,100,20,0
164,NORMAL,STATUS,0,101,10,0
165,NORMAL,PHYSICAL,50,101,1,0
166,NORMAL,STATUS,0,101,1,0
167,FIGHTING,PHYSICAL,10,90,10,0
168,DARK,PHYSICAL,60,100,25,0
169,BUG,STATUS,0,101,10,0
170,NORMAL,STATUS,0,101,5,0
171,GHOST,STATUS,0,100,15,0
172,FIRE,PHYSICAL,60,100,25,0
173,NORMAL,SPECIAL,50,100,15,0
174,GHOST,STATUS,0,101,10,0
175,NORMAL,PHYSICAL,1,100,15,0
176,NORMAL,STATUS,0,101,30,0
177,FLYING,SPECIAL,100,95,5,0
178,GRASS,STATUS,0,100,40,0
179,FIGHTING,PHYSICAL,1,100,15,0
180,GHOST,STATUS,0,100,10,0
181,ICE,SPECIAL,40,100,25,0
182,NORMAL,STATUS,0,101,10,4
183,FIGHTING,PHYSICAL,40,100,30,1
184,NORMAL,STATUS,0,100,10,0
185,DARK,PHYSICAL,60,101,20,0
186,NORMAL,STATUS,0,75,10,0
187,NORMAL,STATUS,0,101,10,0
188,POISON,SPECIAL,90,100,10,0
189,GROUND,SPECIAL,20,100,10,0
190,WATER,SPECIAL,65,85,10,0
191,GROUND,STATUS,0,101,20,0
192,ELECTRIC,SPECIAL,120,50,5,0
193,NORMAL,STATUS,0,101,40,0
194,GHOST,STATUS,0,101,5,0
195,NORMAL,STATUS,0,101,5,0
196,ICE,SPECIAL,55,95,15,0
197,FIGHTING,STATUS,0,101,5,4
198,GROUND,PHYSICAL,25,90,10,0
199,NORMAL,STATUS,0,101,5,0
200,DRAGON,PHYSICAL,90,100,10,0
201,ROCK,STATUS,0,101,10,0
202,GRASS,SPECIAL,75,100,10,0
203,NORMAL,STATUS,0,101,10,4
204,NORMAL,STATUS,0,100,20,0
205,ROCK,PHYSICAL,30,90,20,0
206,NORMAL,PHYSICAL,40,100,40,0
207,NORMAL,STATUS,0,85,15,0
208,NORMAL,STATUS,0,101,5,0
209,ELECTRIC,PHYSICAL,65,100,20,0
210,BUG,PHYSICAL,40,95,20,0
211,STEEL,PHYSICAL,70,90,25,0
212,NORMAL,STATUS,0,101,5,0
213,NORMAL,STATUS,0,100,15,0
214,NORMAL,STATUS,0,101,10,0
215,NORMAL,STATUS,0,101,5,0
216,NORMAL,PHYSICAL,1,100,20,0
217,NORMAL,PHYSICAL,1,90,15,0
218,NORMAL,PHYSICAL,1,100,20,0
219,NORMAL,STATUS,0,101,25,0
220,NORMAL,STATUS,0,101,20,0
221,FIRE,PHYSICAL,100,95,5,0
222,GROUND,PHYSICAL,1,100,30,0
223,FIGHTING,PHYSICAL,100,50,5,0
224,BUG,PHYSICAL,120,85,10,0
225,DRAGON,SPECIAL,60,100,20,0
226,NORMAL,STATUS,0,101,40,0
227,NORMAL,STATUS,0,100,5,0
228,DARK,PHYSICAL,40,100,20,0
229,NORMAL,PHYSICAL,50,100,40,0
230,NORMAL,STATUS,0,100,20,0
231,STEEL,PHYSICAL,100,75,15,0
232,STEEL,PHYSICAL,50,95,35,0
233,FIGHTING,PHYSICAL,70,101,10,-1
234,NORMAL,STATUS,0,101,5,0
235,GRASS,STATUS,0,101,5,0
236,NORMAL,STATUS,0,101,5,0
237,NORMAL,SPECIAL,60,100,15,0
238,FIGHTING,PHYSICAL,100,80,5,0
239,DRAGON,SPECIAL,40,100,20,0
240,WATER,STATUS,0,101,5,0
241,FIRE,STATUS,0,101,5,0
242,DARK,PHYSICAL,80,100,15,0
243,PSYCHIC,SPECIAL,1,100,20,-5
244,NORMAL,STATUS,0,101,10,0
245,NORMAL,PHYSICAL,80,100,5,2
246,ROCK,SPECIAL,60,100,5,0
247,GHOST,SPECIAL,80,100,15,0
248,PSYCHIC,SPECIAL,120,100,10,0
249,FIGHTING,PHYSICAL,40,100,15,0
250,WATER,SPECIAL,35,85,15,0
251,DARK,PHYSICAL,1,100,10,0
252,NORMAL,PHYSICAL,40,100,10,3
253,NORMAL,SPECIAL,90,100,10,0
254,NORMAL,STATUS,0,101,20,0
255,NORMAL,SPECIAL,1,100,10,0
256,NORMAL,STATUS,0,101,10,0
257,FIRE,SPECIAL,95,90,10,0
258,ICE,STATUS,0,101,10,0
259,DARK,STATUS,0,100,15,0
260,DARK,STATUS,0,100,15,0
261,FIRE,STATUS,0,85,15,0
262,DARK,STATUS,0,100,10,0
263,NORMAL,PHYSICAL,70,100,20,0
264,FIGHTING,PHYSICAL,150,100,20,-3
265,NORMAL,PHYSICAL,70,100,10,0
266,NORMAL,STATUS,0,101,20,2
267,NORMAL,STATUS,0,101,20,0
268,ELECTRIC,STATUS,0,101,20,0
269,DARK,STATUS,0,100,20,0
270,NORMAL,STATUS,0,101,20,5
271,PSYCHIC,STATUS,0,100,10,0
272,PSYCHIC,STATUS,0,101,10,0
273,NORMAL,STATUS,0,101,10,0
274,NORMAL,STATUS,0,101,20,0
275,GRASS,STATUS,0,101,20,0
276,FIGHTING,PHYSICAL,120,100,5,0
277,PSYCHIC,STATUS,0,101,15,4
278,NORMAL,STATUS,0,101,10,0
279,FIGHTING,PHYSICAL,60,100,10,-4
280,FIGHTING,PHYSICAL,75,100,15,0
281,NORMAL,STATUS,0,101,10,0
282,DARK,PHYSICAL,20,100,20,0
283,NORMAL,PHYSICAL,1,100,5,0
284,FIRE,SPECIAL,150,100,5,0
285,PSYCHIC,STATUS,0,101,10,0
286,PSYCHIC,STATUS,0,101,10,0
287,NORMAL,STATUS,0,101,20,0
288,GHOST,STATUS,0,101,5,0
289,DARK,STATUS,0,101,10,4
290,NORMAL,PHYSICAL,70,100,20,0
291,WATER,PHYSICAL,80,100,10,0
292,FIGHTING,PHYSICAL,15,100,20,0
293,NORMAL,STATUS,0,101,20,0
294,BUG,STATUS,0,101,20,0
295,PSYCHIC,SPECIAL,95,100,5,0
296,PSYCHIC,SPECIAL,95,100,5,0
297,FLYING,STATUS,0,100,15,0
298,NORMAL,STATUS,0,100,20,0
299,FIRE,PHYSICAL,85,90,10,0
300,GROUND,STATUS,0,101,15,0
301,ICE,PHYSICAL,30,90,20,0
302,GRASS,PHYSICAL,60,100,15,0
303,NORMAL,STATUS,0,101,5,0
304,NORMAL,SPECIAL,90,100,10,0
305,POISON,PHYSICAL,50,100,15,0
306,NORMAL,PHYSICAL,75,95,10,0
307,FIRE,SPECIAL,150,90,5,0
308,WATER,SPECIAL,150,90,5,0
309,STEEL,PHYSICAL,90,90,10,0
310,GHOST,PHYSICAL,30,100,15,0
311,NORMAL,SPECIAL,50,100,10,0
312,GRASS,STATUS,0,101,5,0
313,DARK,STATUS,0,100,20,0
314,FLYING,SPECIAL,60,95,25,0
315,FIRE,SPECIAL,130,90,5,0
316,NORMAL,STATUS,0,101,40,0
317,ROCK,PHYSICAL,60,95,15,0
318,BUG,SPECIAL,60,100,5,0
319,STEEL,STATUS,0,85,40,0
320,GRASS,STATUS,0,55,15,0
321,NORMAL,STATUS,0,100,20,0
322,PSYCHIC,STATUS,0,101,20,0
323,WATER,SPECIAL,150,100,5,0
324,BUG,SPECIAL,75,100,15,0
325,GHOST,PHYSICAL,60,101,20,0
326,PSYCHIC,SPECIAL,80,100,20,0
327,FIGHTING,PHYSICAL,85,90,15,0
328,GROUND,PHYSICAL,35,85,15,0
329,ICE,SPECIAL,1,30,5,0
330,WATER,SPECIAL,90,85,10,0
331,GRASS,PHYSICAL,25,100,30,0
332,FLYING,PHYSICAL,60,101,20,0
333,ICE,PHYSICAL,25,100,30,0
334,STEEL,STATUS,0,101,15,0
335,NORMAL,STATUS,0,101,5,0
336,NORMAL,STATUS,0,101,40,0
337,DRAGON,PHYSICAL,80,100,15,0
338,GRASS,SPECIAL,150,90,5,0
339,FIGHTING,STATUS,0,101,20,0
340,FLYING,PHYSICAL,85,85,5,0
341,GROUND,SPECIAL,55,95,15,0
342,POISON,PHYSICAL,50,100,25,0
343,NORMAL,PHYSICAL,60,100,25,0
344,ELECTRIC,PHYSICAL,120,100,15,0
345,GRASS,SPECIAL,60,101,20,0
346,WATER,STATUS,0,101,15,0
347,PSYCHIC,STATUS,0,101,20,0
348,GRASS,PHYSICAL,90,100,15,0
349,DRAGON,STATUS,0,101,20,0
350,ROCK,PHYSICAL,25,90,10,0
351,ELECTRIC,SPECIAL,60,101,20,0
352,WATER,SPECIAL,60,100,20,0
353,STEEL,SPECIAL,140,100,5,0
354,PSYCHIC,SPECIAL,140,90,5,0
355,FLYING,STATUS,0,101,5,0
356,PSYCHIC,STATUS,0,101,5,0
357,PSYCHIC,STATUS,0,101,40,0
358,FIGHTING,PHYSICAL,70,100,10,0
359,FIGHTING,PHYSICAL,100,90,10,0
360,STEEL,PHYSICAL,1,100,5,0
361,PSYCHIC,STATUS,0,101,10,0
362,WATER,SPECIAL,65,100,10,0
363,NORMAL,PHYSICAL,1,100,15,0
364,NORMAL,PHYSICAL,30,100,10,2
365,FLYING,PHYSICAL,60,100,20,0
366,FLYING,STATUS,0,101,15,0
367,NORMAL,STATUS,0,101,30,0
368,STEEL,PHYSICAL,1,100,10,0
369,BUG,PHYSICAL,70,100,20,0
370,FIGHTING,PHYSICAL,120,100,5,0
371,DARK,PHYSICAL,50,100,10,0
372,DARK,PHYSICAL,60,100,10,0
373,DARK,STATUS,0,100,15,0
374,DARK,PHYSICAL,1,100,10,0
375,PSYCHIC,STATUS,0,100,10,0
376,NORMAL,SPECIAL,1,101,5,0
377,PSYCHIC,STATUS,0,100,15,0
378,NORMAL,SPECIAL,1,100,5,0
379,PSYCHIC,STATUS,0,101,10,0
380,POISON,STATUS,0,100,10,0
381,NORMAL,STATUS,0,101,30,0
382,NORMAL,STATUS,1,101,20,0
383,NORMAL,STATUS,0,101,20,0
384,PSYCHIC,STATUS,0,101,10,0
385,PSYCHIC,STATUS,0,101,10,0
386,DARK,PHYSICAL,1,100,5,0
387,NORMAL,PHYSICAL,140,100,5,0
388,GRASS,STATUS,0,100,10,0
389,DARK,PHYSICAL,70,100,5,1
390,POISON,STATUS,0,101,20,0
391,PSYCHIC,STATUS,0,101,10,0
392,WATER,STATUS,0,101,20,0
393,ELECTRIC,STATUS,0,101,10,0
394,FIRE,PHYSICAL,120,100,15,0
395,FIGHTING,PHYSICAL,60,100,10,0
396,FIGHTING,SPECIAL,80,101,20,0
397,ROCK,STATUS,0,101,20,0
398,POISON,PHYSICAL,80,100,20,0
399,DARK,SPECIAL,80,100,15,0
400,DARK,PHYSICAL,70,100,15,0
401,WATER,PHYSICAL,90,90,10,0
402,GRASS,PHYSICAL,80,100,15,0
403,FLYING,SPECIAL,75,95,15,0
404,BUG,PHYSICAL,80,100,15,0
405,BUG,SPECIAL,90,100,10,0
406,DRAGON,SPECIAL,85,100,10,0
407,DRAGON,PHYSICAL,100,75,10,0
408,ROCK,SPECIAL,80,100,20,0
409,FIGHTING,PHYSICAL,75,100,10,0
410,FIGHTING,SPECIAL,40,100,30,1
411,FIGHTING,SPECIAL,120,70,5,0
412,GRASS,SPECIAL,90,100,10,0
413,FLYING,PHYSICAL,120,100,15,0
414,GROUND,SPECIAL,90,100,10,0
415,DARK,STATUS,0,100,10,0
416,NORMAL,PHYSICAL,150,90,5,0
417,DARK,STATUS,0,101,20,0
418,STEEL,PHYSICAL,40,100,30,1
419,ICE,PHYSICAL,60,100,10,-4
420,ICE,PHYSICAL,40,100,30,1
421,GHOST,PHYSICAL,70,100,15,0
422,ELECTRIC,PHYSICAL,65,95,15,0
423,ICE,PHYSICAL,65,95,15,0
424,FIRE,PHYSICAL,65,95,15,0
425,GHOST,PHYSICAL,40,100,30,1
426,GROUND,SPECIAL,65,85,10,0
427,PSYCHIC,PHYSICAL,70,100,20,0
428,PSYCHIC,PHYSICAL,80,90,15,0
429,STEEL,SPECIAL,65,85,10,0
430,STEEL,SPECIAL,80,100,10,0
431,NORMAL,PHYSICAL,90,85,20,0
432,FLYING,STATUS,0,101,15,0
433,PSYCHIC,STATUS,0,101,5,-7
434,DRAGON,SPECIAL,130,90,5,0
435,ELECTRIC,SPECIAL,80,100,15,0
436,FIRE,SPECIAL,80,100,15,0
437,GRASS,SPECIAL,130,90,5,0
438,GRASS,PHYSICAL,120,85,10,0
439,ROCK,PHYSICAL,150,90,5,0
440,POISON,PHYSICAL,70,100,20,0
441,POISON,PHYSICAL,120,80,5,0
442,STEEL,PHYSICAL,80,100,15,0
443,STEEL,PHYSICAL,60,101,20,0
444,ROCK,PHYSICAL,100,80,5,0
445,NORMAL,STATUS,0,100,20,0
446,ROCK,STATUS,0,101,20,0
447,GRASS,SPECIAL,1,100,20,0
448,FLYING,SPECIAL,65,100,20,0
449,NORMAL,SPECIAL,100,100,10,0
450,BUG,PHYSICAL,60,100,20,0
451,ELECTRIC,SPECIAL,50,90,10,0
452,GRASS,PHYSICAL,120,100,15,0
453,WATER,PHYSICAL,40,100,20,1
454,BUG,PHYSICAL,90,100,15,0
455,BUG,STATUS,0,101,10,0
456,BUG,STATUS,0,101,5,0
457,ROCK,PHYSICAL,150,80,5,0
458,NORMAL,PHYSICAL,35,90,10,0
459,DRAGON,SPECIAL,150,90,5,0
460,DRAGON,SPECIAL,100,95,5,0
461,PSYCHIC,STATUS,0,101,10,0
462,NORMAL,PHYSICAL,1,100,5,0
463,FIRE,SPECIAL,100,75,5,0
464,DARK,STATUS,0,50,10,0
465,GRASS,SPECIAL,120,85,5,0
466,GHOST,SPECIAL,60,100,5,0
467,GHOST,PHYSICAL,120,100,5,0
468,DARK,STATUS,0,101,15,0
469,ROCK,STATUS,0,101,10,3
470,PSYCHIC,STATUS,0,101,10,0
471,PSYCHIC,STATUS,0,101,10,0
472,PSYCHIC,STATUS,0,101,10,0
473,PSYCHIC,SPECIAL,80,100,10,0
474,POISON,SPECIAL,65,100,10,0
475,STEEL,STATUS,0,101,15,0
476,BUG,STATUS,0,101,20,2
477,PSYCHIC,STATUS,0,101,15,0
478,PSYCHIC,STATUS,0,101,10,0
479,ROCK,PHYSICAL,50,100,15,0
480,FIGHTING,PHYSICAL,60,100,10,0
481,FIRE,SPECIAL,70,100,15,0
482,POISON,SPECIAL,95,100,10,0
483,BUG,STATUS,0,101,20,0
484,STEEL,PHYSICAL,1,100,10,0
485,PSYCHIC,SPECIAL,120,100,10,0
486,ELECTRIC,SPECIAL,1,100,10,0
487,WATER,STATUS,0,100,20,0
488,FIRE,PHYSICAL,50,100,20,0
489,POISON,STATUS,0,101,20,0
490,FIGHTING,PHYSICAL,65,100,20,0
491,POISON,SPECIAL,40,100,20,0
492,DARK,PHYSICAL,95,100,15,0
493,NORMAL,STATUS,0,100,15,0
494,NORMAL,STATUS,0,100,15,0
495,NORMAL,STATUS,0,101,15,0
496,NORMAL,SPECIAL,60,100,15,0
497,NORMAL,SPECIAL,40,100,15,0
498,NORMAL,PHYSICAL,70,100,20,0
499,POISON,SPECIAL,50,101,15,0
500,PSYCHIC,SPECIAL,20,100,10,0
501,FIGHTING,STATUS,0,101,15,3
502,PSYCHIC,STATUS,0,101,15,2
503,WATER,SPECIAL,80,100,15,0
504,NORMAL,STATUS,0,101,15,0
505,PSYCHIC,STATUS,0,101,10,0
506,GHOST,SPECIAL,65,100,10,0
507,FLYING,PHYSICAL,60,100,10,0
508,STEEL,STATUS,0,101,10,0
509,FIGHTING,PHYSICAL,60,90,10,-6
510,FIRE,SPECIAL,60,100,15,0
511,DARK,STATUS,0,100,15,0
512,FLYING,PHYSICAL,55,100,15,0
513,NORMAL,STATUS,0,101,15,0
514,NORMAL,PHYSICAL,70,100,5,0
515,FIGHTING,SPECIAL,1,100,5,0
516,NORMAL,STATUS,0,101,15,0
517,FIRE,SPECIAL,100,50,5,0
518,WATER,SPECIAL,80,100,10,0
519,FIRE,SPECIAL,80,100,10,0
520,GRASS,SPECIAL,80,100,10,0
521,ELECTRIC,SPECIAL,70,100,20,0
522,BUG,SPECIAL,50,100,20,0
523,GROUND,PHYSICAL,60,100,20,0
524,ICE,SPECIAL,60,90,10,0
525,DRAGON,PHYSICAL,60,90,10,-6
526,NORMAL,STATUS,0,101,30,0
527,ELECTRIC,SPECIAL,55,95,15,0
528,ELECTRIC,PHYSICAL,90,100,15,0
529,GROUND,PHYSICAL,80,95,10,0
530,DRAGON,PHYSICAL,40,90,15,0
531,PSYCHIC,PHYSICAL,60,100,25,0
532,GRASS,PHYSICAL,75,100,10,0
533,FIGHTING,PHYSICAL,90,100,15,0
534,WATER,PHYSICAL,75,95,10,0
535,FIRE,PHYSICAL,1,100,10,0
536,GRASS,SPECIAL,65,90,10,0
537,BUG,PHYSICAL,65,100,20,0
538,GRASS,STATUS,0,101,10,0
539,DARK,SPECIAL,85,95,10,0
540,PSYCHIC,SPECIAL,100,100,10,0
541,NORMAL,PHYSICAL,25,85,10,0
542,FLYING,SPECIAL,110,70,10,0
543,NORMAL,PHYSICAL,120,100,15,0
544,STEEL,PHYSICAL,50,85,15,0
545,FIRE,SPECIAL,100,100,5,0
546,NORMAL,SPECIAL,120,100,5,0
547,NORMAL,SPECIAL,75,100,10,0
548,FIGHTING,SPECIAL,85,100,10,0
549,ICE,SPECIAL,65,95,10,0
550,ELECTRIC,PHYSICAL,130,85,5,0
551,FIRE,SPECIAL,130,85,5,0
552,FIRE,SPECIAL,80,100,10,0
553,ICE,PHYSICAL,140,90,5,0
554,ICE,SPECIAL,140,90,5,0
555,DARK,SPECIAL,55,95,15,0
556,ICE,PHYSICAL,85,90,10,0
557,FIRE,PHYSICAL,180,95,5,0
558,FIRE,SPECIAL,100,100,5,0
559,ELECTRIC,PHYSICAL,100,100,5,0
1000,GHOST,STATUS,0,101,50,0
1001,GHOST,STATUS,0,101,50,0
1002,FIRE,SPECIAL,1,101,50,0
1003,QUESTIONQUESTIONQUESTION,PHYSICAL,200,101,50,0
1004,QUESTIONQUESTIONQUESTION,STATUS,0,101,50,0
1006,QUESTIONQUESTIONQUESTION,PHYSICAL,250,101,50,0
1007,QUESTIONQUESTIONQUESTION,SPECIAL,120,100,50,0
1008,QUESTIONQUESTIONQUESTION,STATUS,0,101,50,0
1009,FIRE,SPECIAL,200,100,50,0
1010,QUESTIONQUESTIONQUESTION,STATUS,0,101,20,-6
1011,QUESTIONQUESTIONQUESTION,STATUS,1,101,20,0
1012,QUESTIONQUESTIONQUESTION,SPECIAL,1,101,50,-5
1013,QUESTIONQUESTIONQUESTION,STATUS,0,101,40,0
1014,GROUND,SPECIAL,80,101,40,0
1015,DARK,PHYSICAL,1,100,50,0
1017,FLYING,PHYSICAL,120,100,50,0
1018,FLYING,PHYSICAL,800,101,50,0
1019,WATER,SPECIAL,85,85,25,0
1020,ELECTRIC,SPECIAL,85,85,25,0
1021,FIRE,PHYSICAL,85,85,25,0
1022,PSYCHIC,SPECIAL,85,85,25,0
1023,DARK,PHYSICAL,85,85,25,0
1024,ELECTRIC,SPECIAL,200,100,50,0
1025,ELECTRIC,SPECIAL,1,101,5,0
1027,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1028,NORMAL,PHYSICAL,200,101,40,0
1029,NORMAL,PHYSICAL,200,101,40,0
1030,PSYCHIC,STATUS,0,101,10,0
1031,NORMAL,STATUS,0,101,5,0
1032,PSYCHIC,STATUS,0,101,15,2
1033,NORMAL,STATUS,0,101,20,2
1034,PSYCHIC,STATUS,0,101,10,2
1035,NORMAL,STATUS,0,101,10,0
1036,DRAGON,STATUS,0,101,15,2
1037,DARK,STATUS,0,101,15,2
1040,NORMAL,SPECIAL,250,100,50,0
1041,NORMAL,SPECIAL,50,100,50,0
1042,GHOST,PHYSICAL,90,100,50,0
1043,GHOST,PHYSICAL,90,100,50,0
1044,NORMAL,STATUS,0,101,50,0
1046,FIRE,SPECIAL,75,100,1,-1
1048,QUESTIONQUESTIONQUESTION,SPECIAL,80,100,10,0
1051,FIRE,SPECIAL,120,100,1,-1
1052,QUESTIONQUESTIONQUESTION,SPECIAL,100,100,10,0
1054,QUESTIONQUESTIONQUESTION,PHYSICAL,1000,101,50,0
1055,QUESTIONQUESTIONQUESTION,SPECIAL,1000,101,50,0
