# regionId;locationId;locationNameFull  (DS regions: locationId == map header = map<<8|bank)
3;218;Mt. Coronet (1F East)
3;219;Mt. Coronet (B1F)
3;225;Solaceon Ruins
3;227;Solaceon Ruins
3;228;Solaceon Ruins
3;229;Solaceon Ruins
3;230;Solaceon Ruins
3;231;Solaceon Ruins
3;232;Solaceon Ruins
3;233;Solaceon Ruins
3;234;Solaceon Ruins
3;235;Solaceon Ruins
3;236;Solaceon Ruins
3;237;Solaceon Ruins
3;238;Solaceon Ruins
3;239;Solaceon Ruins
3;240;Solaceon Ruins
3;241;Solaceon Ruins
3;242;Solaceon Ruins
3;244;Victory Road (1F)
3;245;Victory Road (2F)
3;246;Victory Road (B1F)
3;247;Victory Road (B1F East)
3;248;Victory Road (1F East)
3;249;Victory Road (B2F East)
3;254;Ravaged Path
3;258;Oreburgh Gate (1F)
3;259;Oreburgh Gate (B1F)
3;262;Stark Mountain (Outside)
3;263;Stark Mountain (Entrance)
3;264;Stark Mountain (Inner)
3;267;Sendoff Spring
3;269;Turnback Cave (???)
3;270;Turnback Cave (???)
3;271;Turnback Cave (???)
3;272;Turnback Cave (???)
3;273;Turnback Cave (???)
3;278;Snowpoint Temple (1F)
3;279;Snowpoint Temple (B1F)
3;280;Snowpoint Temple (B2F)
3;281;Snowpoint Temple (B3F)
3;282;Snowpoint Temple (B4F)
3;283;Snowpoint Temple (B5F)
3;284;Wayward Cave (1F)
3;285;Wayward Cave (B1F)
3;286;Ruin Maniac Cave
3;287;Trophy Garden
3;288;Iron Island (Outside)
3;289;Iron Island (1F)
3;290;Iron Island (B1F West)
3;291;Iron Island (B1F East)
3;292;Iron Island (B2F East)
3;293;Iron Island (B2F West)
3;294;Iron Island (B3F West)
3;295;Old Chateau (1F)
3;296;Old Chateau (Dining Room)
3;297;Old Chateau (2F)
3;298;Old Chateau (2F)
3;299;Old Chateau (2F)
3;300;Old Chateau (2F)
3;301;Old Chateau (2F)
3;302;Old Chateau (2F)
3;303;Old Chateau (2F)
3;311;Lake Verity
3;312;Lake Verity
3;315;Lake Valor
3;318;Lake Acuity
3;336;Valor Lakefront
3;33;Canalave City
3;340;Acuity Lakefront
3;342;Route 201
3;343;Route 202
3;344;Route 203
3;345;Route 204 (South)
3;346;Route 204 (North)
3;347;Route 205 (South)
3;349;Route 205 (North)
3;350;Route 206
3;353;Route 207
3;354;Route 208
3;356;Route 209
3;357;Route 209 (Tower 1F)
3;358;Route 209 (Tower 2F)
3;359;Route 209 (Tower 3F)
3;360;Route 209 (Tower 4F)
3;361;Route 209 (Tower 5F)
3;362;Route 210 (South)
3;363;Route 210 (North)
3;365;Route 211 (West)
3;366;Route 211 (East)
3;367;Route 212 (North)
3;371;Route 212 (South)
3;373;Route 213
3;380;Route 214
3;382;Route 215
3;383;Route 216
3;385;Route 217
3;388;Route 218
3;391;Route 219
3;392;Route 221
3;395;Route 222
3;399;Route 224
3;400;Route 225
3;403;Route 227
3;406;Route 228
3;407;Route 229
3;411;Twinleaf Town
3;442;Celestic Town
3;457;Resort Area
3;467;Route 220
3;468;Route 223
3;469;Route 226
3;471;Route 230
3;504;Great Marsh (Area 1)
3;505;Great Marsh (Area 2)
3;506;Great Marsh (Area 3)
3;507;Great Marsh (Area 4)
3;508;Great Marsh (Area 5)
3;509;Great Marsh (Area 6)
3;512;Ruin Maniac Cave
3;513;Maniac Tunnel
3;515;Solaceon Ruins
3;518;Turnback Cave (???)
3;519;Turnback Cave (???)
3;520;Turnback Cave (???)
3;521;Turnback Cave (???)
3;522;Turnback Cave (???)
3;523;Turnback Cave (???)
3;524;Turnback Cave (???)
3;525;Turnback Cave (???)
3;526;Turnback Cave (???)
3;527;Turnback Cave (???)
3;528;Turnback Cave (???)
3;529;Turnback Cave (???)
3;530;Turnback Cave (???)
3;531;Turnback Cave (???)
3;532;Turnback Cave (???)
3;593;Stark Mountain (Back Room)
3;65;Eterna City
4;113;Ruins of Alph (Outside)
4;117;Ilex Forest
4;119;Mt. Mortar (Entrance)
4;120;Ice Path (1F)
4;121;Whirl Islands (1F)
4;122;Mt. Silver Cave (1F)
4;123;Dark Cave (North)
4;124;Victory Road (1F)
4;126;Tohjo Falls
4;151;Route 47
4;152;Route 48
4;153;Union Cave (B1F)
4;154;Union Cave (B2F)
4;155;Sprout Tower (2F)
4;156;Sprout Tower (3F)
4;174;Safari Zone Gate
4;176;Dark Cave (South)
4;177;SLOWPOKE Well (B2F)
4;178;Victory Road (B1F)
4;179;Victory Road (B2F)
4;181;SLOWPOKE Well (B3F)
4;217;Burned Tower (B1F)
4;237;Ice Path (B1F)
4;238;Ice Path (B2F)
4;239;Ice Path (B3F)
4;242;Whirl Islands (B1F)
4;243;Whirl Islands (B2F)
4;247;Team Rocket HQ (B1F)
4;248;Team Rocket HQ (B2F)
4;249;Team Rocket HQ (B3F)
4;250;Mt. Mortar (1F)
4;251;Mt. Mortar (2F)
4;252;Mt. Mortar (B1F)
4;253;Dragon's Den (B1F)
4;279;Cliff Edge Gate
4;280;Pokéathlon Dome
4;298;Tohjo Falls (Hidden Room)
4;30;Route 26
4;315;Ruins of Alph
4;31;Route 27
4;323;Ruins of Alph
4;32;Route 28
4;332;Bell Tower (2F)
4;333;Bell Tower (3F)
4;334;Bell Tower (4F)
4;335;Bell Tower (5F)
4;336;Bell Tower (6F)
4;337;Bell Tower (7F)
4;338;Bell Tower (8F)
4;339;Bell Tower (9F)
4;33;Route 29
4;341;Bell Tower (10F)
4;342;Cliff Cave
4;343;Safari Zone
4;344;Safari Zone
4;345;Safari Zone
4;346;Safari Zone
4;347;Safari Zone
4;348;Safari Zone
4;349;Safari Zone
4;34;Route 30
4;350;Safari Zone
4;351;Safari Zone
4;352;Safari Zone
4;353;Safari Zone
4;354;Safari Zone
4;35;Route 31
4;36;Route 32
4;37;Route 33
4;38;Route 34
4;39;Route 35
4;40;Route 36
4;41;Route 37
4;42;Route 38
4;43;Route 39
4;44;Route 42
4;459;Mt. Silver Cave (Upper Mountainside)
4;45;Route 43
4;460;Mt. Silver Cave (Lower Mountainside)
4;461;Mt. Silver Cave (Southern Room)
4;462;Mt. Silver Cave (Northern Room)
4;463;Mt. Silver Cave (2F)
4;464;Mt. Silver Cave (3F)
4;46;Route 44
4;47;Route 45
4;486;Whirl Islands (B3F)
4;48;Route 46
4;491;Ruins of Alph
4;60;New Bark Town
4;67;Cherrygrove City
4;73;Violet City
4;74;Azalea Town
4;75;Cianwood City
4;77;Olivine City
4;78;Ecruteak City
4;7;Burned Tower (1F)
4;87;Mahogany Town
4;88;Lake of Rage
4;89;Blackthorn City
4;90;Mt. Silver (Outside)
4;94;Route 40
4;95;Route 41
4;96;National Park
4;99;Union Cave (1F)
