# hdr;region;bank;map;header;scriptFile;levelScript;textBank;events
hdr;2;55;0;55;110;111;60;55
hdr;2;56;0;56;112;113;61;56
hdr;2;57;0;57;114;115;62;57
hdr;2;58;0;58;116;117;63;58
hdr;2;59;0;59;118;119;64;59
hdr;2;60;0;60;120;121;65;60
hdr;2;61;0;61;122;123;66;61
hdr;2;62;0;62;124;125;67;62
hdr;2;63;0;63;126;127;68;63
hdr;2;64;0;64;128;129;69;64
hdr;2;65;0;65;130;131;70;65
hdr;2;66;0;66;132;133;71;66
hdr;2;67;0;67;134;135;72;67
hdr;2;68;0;68;136;137;73;68
hdr;2;69;0;69;138;139;74;69
hdr;2;70;0;70;140;141;75;70
hdr;2;71;0;71;142;143;76;71
hdr;2;72;0;72;144;145;77;72
hdr;2;73;0;73;146;147;78;73
hdr;2;74;0;74;148;149;79;74
hdr;2;75;0;75;150;151;80;75
hdr;2;76;0;76;152;153;81;76
hdr;2;77;0;77;154;155;82;77
hdr;2;78;0;78;156;157;83;78
hdr;2;79;0;79;158;159;84;79
hdr;2;80;0;80;160;161;85;80
hdr;2;81;0;81;162;163;86;81
hdr;2;82;0;82;164;165;87;82
hdr;2;83;0;83;166;167;88;83
hdr;2;84;0;84;168;169;89;84
hdr;2;85;0;85;170;171;90;85
hdr;2;86;0;86;172;173;91;86
hdr;2;87;0;87;174;175;92;87
hdr;2;88;0;88;176;177;93;88
hdr;2;89;0;89;178;179;94;89
hdr;2;90;0;90;180;181;95;90
hdr;2;91;0;91;182;183;96;91
hdr;2;92;0;92;184;185;97;92
hdr;2;93;0;93;186;187;98;93
hdr;2;94;0;94;188;189;99;94
hdr;2;95;0;95;190;191;100;95
hdr;2;96;0;96;192;193;101;96
hdr;2;97;0;97;194;195;102;97
hdr;2;98;0;98;196;197;103;98
hdr;2;99;0;99;198;199;104;99
hdr;2;100;0;100;200;201;105;100
hdr;2;101;0;101;202;203;106;101
hdr;2;102;0;102;204;205;107;102
hdr;2;103;0;103;206;207;108;103
hdr;2;104;0;104;208;209;109;104
hdr;2;105;0;105;210;211;110;105
hdr;2;106;0;106;212;213;111;106
hdr;2;107;0;107;214;215;112;107
hdr;2;108;0;108;216;217;113;108
hdr;2;109;0;109;218;219;114;109
hdr;2;110;0;110;220;221;115;110
hdr;2;111;0;111;222;223;116;111
hdr;2;112;0;112;224;225;117;112
hdr;2;113;0;113;226;227;118;113
hdr;2;114;0;114;228;229;119;114
hdr;2;115;0;115;230;231;120;115
hdr;2;116;0;116;232;233;121;116
hdr;2;117;0;117;234;235;122;117
hdr;2;118;0;118;236;237;123;118
hdr;2;119;0;119;238;239;124;119
hdr;2;120;0;120;240;241;125;120
hdr;2;121;0;121;242;243;126;121
hdr;2;122;0;122;244;245;127;122
hdr;2;123;0;123;246;247;128;123
hdr;2;124;0;124;248;249;129;124
hdr;2;125;0;125;250;251;130;125
hdr;2;126;0;126;252;253;131;126
hdr;2;127;0;127;254;255;132;127
hdr;2;128;0;128;256;257;133;128
hdr;2;129;0;129;258;259;134;129
hdr;2;130;0;130;260;261;135;130
hdr;2;131;0;131;262;263;136;131
hdr;2;132;0;132;264;265;137;132
hdr;2;133;0;133;266;267;138;133
hdr;2;134;0;134;268;269;139;134
hdr;2;135;0;135;270;271;140;135
hdr;2;136;0;136;272;273;141;136
hdr;2;137;0;137;274;275;142;137
hdr;2;138;0;138;276;277;143;138
hdr;2;139;0;139;278;279;144;139
hdr;2;140;0;140;280;281;145;140
hdr;2;141;0;141;282;283;146;141
hdr;2;142;0;142;284;285;147;142
hdr;2;143;0;143;286;287;148;143
hdr;2;144;0;144;288;289;149;144
hdr;2;145;0;145;290;291;150;145
hdr;2;146;0;146;292;293;151;146
hdr;2;147;0;147;294;295;152;147
hdr;2;148;0;148;296;297;153;148
hdr;2;149;0;149;298;299;154;149
hdr;2;150;0;150;300;301;156;150
hdr;2;151;0;151;302;303;157;151
hdr;2;152;0;152;304;305;160;152
hdr;2;153;0;153;306;307;161;153
hdr;2;154;0;154;308;309;162;154
hdr;2;155;0;155;310;311;163;155
hdr;2;156;0;156;312;313;164;156
hdr;2;157;0;157;314;315;165;157
hdr;2;158;0;158;316;317;166;158
hdr;2;159;0;159;318;319;167;159
hdr;2;160;0;160;320;321;168;160
hdr;2;161;0;161;322;323;169;161
hdr;2;162;0;162;324;325;170;162
hdr;2;163;0;163;326;327;171;163
hdr;2;164;0;164;328;329;172;164
hdr;2;165;0;165;330;331;173;165
hdr;2;166;0;166;332;333;174;166
hdr;2;167;0;167;334;335;175;167
hdr;2;168;0;168;336;337;176;168
hdr;2;169;0;169;338;339;177;169
hdr;2;170;0;170;340;341;178;170
hdr;2;171;0;171;342;343;179;171
hdr;2;172;0;172;344;345;180;172
hdr;2;173;0;173;346;347;181;173
hdr;2;174;0;174;348;349;182;174
hdr;2;175;0;175;350;351;183;175
hdr;2;176;0;176;352;353;184;176
hdr;2;177;0;177;354;355;185;177
hdr;2;178;0;178;356;357;186;178
hdr;2;179;0;179;358;359;187;179
hdr;2;180;0;180;360;361;188;180
hdr;2;181;0;181;362;363;189;181
hdr;2;182;0;182;364;365;190;182
hdr;2;183;0;183;366;367;191;183
hdr;2;184;0;184;368;369;192;184
hdr;2;185;0;185;370;371;193;185
hdr;2;186;0;186;372;373;194;186
hdr;2;187;0;187;374;375;195;187
hdr;2;188;0;188;376;377;196;188
hdr;2;189;0;189;378;379;197;189
hdr;2;190;0;190;380;381;198;190
hdr;2;191;0;191;382;383;199;191
hdr;2;192;0;192;384;385;200;192
hdr;2;193;0;193;386;387;201;193
hdr;2;194;0;194;388;389;202;194
hdr;2;195;0;195;390;391;203;195
hdr;2;196;0;196;392;393;204;196
hdr;2;197;0;197;394;395;205;197
hdr;2;198;0;198;396;397;206;198
hdr;2;199;0;199;398;399;207;199
hdr;2;200;0;200;400;401;208;200
hdr;2;201;0;201;402;403;209;201
hdr;2;202;0;202;404;405;210;202
hdr;2;203;0;203;406;407;211;203
hdr;2;204;0;204;408;409;212;204
hdr;2;205;0;205;410;411;213;205
hdr;2;206;0;206;412;413;214;206
hdr;2;207;0;207;414;415;215;207
hdr;2;208;0;208;416;417;216;208
hdr;2;209;0;209;418;419;217;209
hdr;2;210;0;210;420;421;218;210
hdr;2;211;0;211;422;423;219;211
hdr;2;212;0;212;424;425;220;212
hdr;2;213;0;213;426;427;221;213
hdr;2;214;0;214;428;429;222;214
hdr;2;215;0;215;430;431;223;215
hdr;2;216;0;216;432;433;224;216
hdr;2;217;0;217;434;435;225;217
hdr;2;218;0;218;436;437;226;218
hdr;2;219;0;219;438;439;227;219
hdr;2;220;0;220;440;441;228;220
hdr;2;221;0;221;442;443;229;221
hdr;2;222;0;222;444;445;230;222
hdr;2;223;0;223;446;447;231;223
hdr;2;224;0;224;448;449;232;224
hdr;2;225;0;225;450;451;233;225
hdr;2;226;0;226;452;453;234;226
hdr;2;227;0;227;454;455;235;227
hdr;2;228;0;228;456;457;236;228
hdr;2;229;0;229;458;459;237;229
hdr;2;230;0;230;460;461;238;230
hdr;2;231;0;231;462;463;239;231
hdr;2;232;0;232;464;465;240;232
hdr;2;233;0;233;466;467;241;233
hdr;2;234;0;234;468;469;242;234
hdr;2;235;0;235;470;471;243;235
hdr;2;236;0;236;472;473;244;236
hdr;2;237;0;237;474;475;245;237
hdr;2;238;0;238;476;477;246;238
hdr;2;239;0;239;478;479;247;239
hdr;2;240;0;240;480;481;248;240
hdr;2;241;0;241;482;483;249;241
hdr;2;242;0;242;484;485;250;242
hdr;2;243;0;243;486;487;251;243
hdr;2;244;0;244;488;489;252;244
hdr;2;245;0;245;490;491;253;245
hdr;2;246;0;246;492;493;254;246
hdr;2;247;0;247;494;495;255;247
hdr;2;248;0;248;496;497;256;248
hdr;2;249;0;249;498;499;265;249
hdr;2;250;0;250;500;501;266;250
hdr;2;251;0;251;502;503;267;251
hdr;2;252;0;252;504;505;268;252
hdr;2;253;0;253;506;507;269;253
hdr;2;254;0;254;508;509;270;254
hdr;2;255;0;255;510;511;271;255
hdr;2;0;1;256;512;513;272;256
hdr;2;1;1;257;514;515;273;257
hdr;2;2;1;258;516;517;274;258
hdr;2;3;1;259;518;519;275;259
hdr;2;4;1;260;520;521;276;260
hdr;2;5;1;261;522;523;277;261
hdr;2;6;1;262;524;525;278;262
hdr;2;7;1;263;526;527;279;263
hdr;2;8;1;264;528;529;287;264
hdr;2;9;1;265;530;531;288;265
hdr;2;10;1;266;532;533;289;266
hdr;2;11;1;267;534;535;290;267
hdr;2;12;1;268;536;537;291;268
hdr;2;13;1;269;538;539;292;269
hdr;2;14;1;270;540;541;293;270
hdr;2;15;1;271;542;543;294;271
hdr;2;16;1;272;544;545;295;272
hdr;2;17;1;273;546;547;296;273
hdr;2;18;1;274;548;549;297;274
hdr;2;19;1;275;550;551;298;275
hdr;2;20;1;276;552;553;299;276
hdr;2;21;1;277;554;555;300;277
hdr;2;22;1;278;556;557;301;278
hdr;2;23;1;279;558;559;303;279
hdr;2;24;1;280;560;561;304;280
hdr;2;25;1;281;562;563;305;281
hdr;2;26;1;282;564;565;306;282
hdr;2;27;1;283;566;567;307;283
hdr;2;28;1;284;568;569;308;284
hdr;2;29;1;285;570;571;309;285
hdr;2;30;1;286;572;573;310;286
hdr;2;31;1;287;574;575;311;287
hdr;2;32;1;288;576;577;312;288
hdr;2;33;1;289;578;579;317;289
hdr;2;34;1;290;580;581;318;290
hdr;2;35;1;291;582;583;319;291
hdr;2;36;1;292;584;585;320;292
hdr;2;37;1;293;586;587;321;293
hdr;2;38;1;294;588;589;322;294
hdr;2;39;1;295;590;591;323;295
hdr;2;40;1;296;592;593;324;296
hdr;2;41;1;297;594;595;325;297
hdr;2;42;1;298;596;597;326;298
hdr;2;43;1;299;598;599;327;299
hdr;2;44;1;300;600;601;328;300
hdr;2;45;1;301;602;603;329;301
hdr;2;46;1;302;604;605;330;302
hdr;2;47;1;303;606;607;331;303
hdr;2;48;1;304;608;609;333;304
hdr;2;49;1;305;610;611;334;305
hdr;2;50;1;306;612;613;335;306
hdr;2;51;1;307;614;615;336;307
hdr;2;52;1;308;616;617;337;308
hdr;2;53;1;309;618;619;338;309
hdr;2;54;1;310;620;621;339;310
hdr;2;55;1;311;622;623;340;311
hdr;2;56;1;312;624;625;341;312
hdr;2;57;1;313;626;627;342;313
hdr;2;58;1;314;628;629;343;314
hdr;2;59;1;315;630;631;344;315
hdr;2;60;1;316;632;633;345;316
hdr;2;61;1;317;634;635;349;317
hdr;2;62;1;318;636;637;350;318
hdr;2;63;1;319;638;639;351;319
hdr;2;64;1;320;640;641;352;320
hdr;2;65;1;321;642;643;353;321
hdr;2;66;1;322;644;645;354;322
hdr;2;67;1;323;646;647;355;323
hdr;2;68;1;324;648;649;356;324
hdr;2;69;1;325;650;651;357;325
hdr;2;70;1;326;652;653;358;326
hdr;2;71;1;327;654;655;359;327
hdr;2;72;1;328;656;657;360;328
hdr;2;73;1;329;658;659;361;329
hdr;2;74;1;330;660;661;362;330
hdr;2;75;1;331;662;663;363;331
hdr;2;76;1;332;664;665;364;332
hdr;2;77;1;333;666;667;365;333
hdr;2;78;1;334;668;669;366;334
hdr;2;79;1;335;670;671;367;335
hdr;2;80;1;336;672;673;368;336
hdr;2;81;1;337;674;675;369;337
hdr;2;82;1;338;676;677;370;338
hdr;2;83;1;339;678;679;371;339
hdr;2;84;1;340;680;681;372;340
hdr;2;85;1;341;682;683;373;341
hdr;2;86;1;342;684;685;374;342
hdr;2;87;1;343;686;687;375;343
hdr;2;88;1;344;688;689;376;344
hdr;2;89;1;345;690;691;377;345
hdr;2;90;1;346;692;693;378;346
hdr;2;91;1;347;694;695;379;347
hdr;2;92;1;348;696;697;380;348
hdr;2;93;1;349;698;699;381;349
hdr;2;94;1;350;700;701;382;350
hdr;2;95;1;351;702;703;383;351
hdr;2;96;1;352;704;705;384;352
hdr;2;97;1;353;706;707;385;353
hdr;2;98;1;354;708;709;386;354
hdr;2;99;1;355;710;711;387;355
hdr;2;100;1;356;712;713;388;356
hdr;2;101;1;357;714;715;389;357
hdr;2;102;1;358;716;717;390;358
hdr;2;103;1;359;718;719;391;359
hdr;2;104;1;360;720;721;392;360
hdr;2;105;1;361;722;723;393;361
hdr;2;106;1;362;724;725;394;362
hdr;2;107;1;363;726;727;395;363
hdr;2;108;1;364;728;729;396;364
hdr;2;109;1;365;730;731;397;365
hdr;2;110;1;366;732;733;398;366
hdr;2;111;1;367;734;735;399;367
hdr;2;112;1;368;736;737;400;368
hdr;2;113;1;369;738;739;401;369
hdr;2;114;1;370;740;741;402;370
hdr;2;115;1;371;742;743;403;371
hdr;2;116;1;372;744;745;404;372
hdr;2;117;1;373;746;747;405;373
hdr;2;118;1;374;748;749;406;374
hdr;2;119;1;375;750;751;407;375
hdr;2;120;1;376;752;753;408;376
hdr;2;121;1;377;754;755;409;377
hdr;2;122;1;378;756;757;410;378
hdr;2;123;1;379;758;759;411;379
hdr;2;124;1;380;760;761;412;380
hdr;2;125;1;381;762;763;413;381
hdr;2;126;1;382;764;765;414;382
hdr;2;127;1;383;766;767;415;383
hdr;2;128;1;384;768;769;416;384
hdr;2;129;1;385;770;771;417;385
hdr;2;130;1;386;772;773;418;386
hdr;2;131;1;387;774;775;419;387
hdr;2;132;1;388;776;777;420;388
hdr;2;133;1;389;778;779;428;389
hdr;2;134;1;390;780;781;429;390
hdr;2;135;1;391;782;783;430;391
hdr;2;136;1;392;784;785;431;392
hdr;2;137;1;393;786;787;432;393
hdr;2;138;1;394;788;789;433;394
hdr;2;139;1;395;790;791;434;395
hdr;2;140;1;396;792;793;435;396
hdr;2;141;1;397;794;795;436;397
hdr;2;142;1;398;796;797;437;398
hdr;2;143;1;399;798;799;438;399
hdr;2;144;1;400;800;801;439;400
hdr;2;145;1;401;802;803;440;401
hdr;2;146;1;402;804;805;441;402
hdr;2;147;1;403;806;807;442;403
hdr;2;148;1;404;808;809;443;404
hdr;2;149;1;405;810;811;444;405
hdr;2;150;1;406;812;813;445;406
hdr;2;151;1;407;814;815;446;407
hdr;2;152;1;408;816;817;447;408
hdr;2;153;1;409;818;819;448;409
hdr;2;154;1;410;820;821;449;410
hdr;2;155;1;411;822;823;450;411
hdr;2;156;1;412;824;825;451;412
hdr;2;157;1;413;826;827;452;413
hdr;2;158;1;414;828;829;453;414
hdr;2;159;1;415;830;831;454;415
hdr;2;160;1;416;832;833;455;416
hdr;2;161;1;417;834;835;456;417
hdr;2;162;1;418;836;837;457;418
hdr;2;163;1;419;838;839;458;419
hdr;2;164;1;420;840;841;459;420
hdr;2;165;1;421;842;843;460;421
hdr;2;166;1;422;844;845;463;422
hdr;2;167;1;423;846;847;465;423
hdr;2;168;1;424;848;849;466;424
hdr;2;169;1;425;850;851;467;425
hdr;2;170;1;426;852;853;468;426
